"Year","NumberOfFatalities","NumberOfFatalCrashes","Month"
2006,8,8,"March"
2006,4,4,"March"
2006,8,7,"March"
2006,1,1,"March"
2006,5,5,"March"
2006,5,5,"April"
2006,7,7,"April"
2006,1,1,"April"
2006,1,1,"April"
2006,4,3,"April"
2006,4,4,"April"
2006,7,3,"April"
2006,4,3,"April"
2006,6,5,"April"
2006,3,3,"April"
2006,3,2,"April"
2006,4,2,"April"
2006,3,3,"April"
2006,4,4,"April"
2006,2,2,"April"
2006,3,3,"April"
2006,10,6,"April"
2006,2,2,"April"
2006,6,6,"April"
2006,1,1,"April"
2006,3,3,"April"
2006,1,1,"April"
2006,4,3,"April"
2006,5,4,"April"
2006,7,6,"April"
2006,8,8,"April"
2006,5,5,"April"
2006,6,5,"April"
2006,1,1,"April"
2006,4,4,"April"
2006,2,2,"May"
2006,2,2,"May"
2006,9,5,"May"
2006,5,4,"May"
2006,6,6,"May"
2006,8,7,"May"
2006,4,4,"May"
2006,3,2,"May"
2006,2,2,"May"
2006,2,2,"May"
2006,1,1,"May"
2006,5,5,"May"
2006,7,7,"May"
2006,6,6,"May"
2006,2,2,"May"
2006,1,1,"May"
2006,3,3,"May"
2006,2,2,"May"
2006,4,4,"May"
2006,4,4,"May"
2006,9,9,"May"
2006,4,4,"May"
2006,5,4,"May"
2006,7,7,"May"
2006,2,2,"May"
2006,6,6,"May"
2006,4,3,"May"
2006,6,4,"May"
2006,4,4,"May"
2006,3,3,"May"
2006,4,4,"May"
2006,4,4,"June"
2006,5,5,"June"
2006,2,2,"June"
2006,5,5,"June"
2006,6,5,"June"
2006,5,5,"June"
2006,3,3,"June"
2006,3,3,"June"
2006,4,4,"June"
2006,2,2,"June"
2006,5,4,"June"
2006,5,4,"June"
2006,8,7,"June"
2006,1,1,"June"
2006,2,2,"June"
2006,7,6,"June"
2006,8,7,"June"
2006,6,5,"June"
2006,9,7,"June"
2006,4,4,"June"
2006,5,5,"June"
2006,7,7,"June"
2006,5,5,"June"
2006,6,6,"June"
2006,1,1,"June"
2006,3,3,"June"
2006,6,4,"June"
2006,3,3,"June"
2006,3,3,"June"
2006,3,3,"June"
2006,3,3,"July"
2006,0,0,"July"
2006,2,2,"July"
2006,1,1,"July"
2006,0,0,"July"
2006,0,0,"July"
2006,4,3,"July"
2006,10,7,"July"
2006,7,7,"July"
2006,7,5,"July"
2006,1,1,"July"
2006,5,5,"July"
2006,7,7,"July"
2006,6,5,"July"
2006,6,5,"July"
2006,1,1,"July"
2006,0,0,"July"
2006,5,5,"July"
2006,4,4,"July"
2006,1,1,"July"
2006,4,4,"July"
2006,2,2,"July"
2006,8,7,"July"
2006,6,5,"July"
2006,2,2,"July"
2006,4,3,"July"
2006,6,5,"July"
2006,7,6,"July"
2006,0,0,"July"
2006,5,5,"July"
2006,1,1,"July"
2006,3,3,"August"
2006,6,5,"August"
2006,4,3,"August"
2006,6,4,"August"
2006,2,2,"August"
2006,7,7,"August"
2006,4,4,"August"
2006,2,2,"August"
2006,6,6,"August"
2006,5,5,"August"
2006,7,6,"August"
2006,5,5,"August"
2006,3,3,"August"
2006,1,1,"August"
2006,2,2,"August"
2006,3,3,"August"
2006,5,5,"August"
2006,2,2,"August"
2006,6,5,"August"
2006,2,2,"August"
2006,3,3,"August"
2006,2,2,"August"
2006,5,5,"August"
2006,1,1,"August"
2006,7,7,"August"
2006,11,10,"August"
2006,4,4,"August"
2006,2,2,"August"
2006,5,5,"August"
2006,3,3,"August"
2006,3,3,"August"
2006,0,0,"September"
2006,9,7,"September"
2006,3,2,"September"
2006,2,2,"September"
2006,0,0,"September"
2006,4,4,"September"
2006,2,2,"September"
2006,5,5,"September"
2006,8,7,"September"
2006,2,2,"September"
2006,0,0,"September"
2006,6,6,"September"
2006,6,5,"September"
2006,6,6,"September"
2006,5,5,"September"
2006,12,11,"September"
2006,5,5,"September"
2006,0,0,"September"
2006,3,3,"September"
2006,4,4,"September"
2006,5,3,"September"
2006,6,5,"September"
2006,8,8,"September"
2006,8,7,"September"
2006,6,6,"September"
2006,9,2,"September"
2006,2,2,"September"
2006,2,2,"September"
2006,5,5,"September"
2006,6,6,"September"
2006,5,5,"October"
2006,3,3,"October"
2006,2,2,"October"
2006,3,3,"October"
2006,4,3,"October"
2006,7,7,"October"
2006,10,10,"October"
2006,5,5,"October"
2006,4,4,"October"
2006,2,2,"October"
2006,7,7,"October"
2006,1,1,"October"
2006,3,3,"October"
2006,8,7,"October"
2006,5,5,"October"
2006,2,2,"October"
2006,1,1,"October"
2006,4,4,"October"
2006,4,4,"October"
2006,8,8,"October"
2006,4,4,"October"
2006,7,4,"October"
2006,2,2,"October"
2006,1,1,"October"
2006,1,1,"October"
2006,1,1,"October"
2006,3,2,"October"
2006,7,7,"October"
2006,5,5,"October"
2006,1,1,"October"
2006,1,1,"October"
2006,6,6,"November"
2006,3,3,"November"
2006,8,7,"November"
2006,5,5,"November"
2006,8,8,"November"
2006,4,4,"November"
2006,5,4,"November"
2006,5,5,"November"
2006,0,0,"November"
2006,2,2,"November"
2006,6,6,"November"
2006,3,3,"November"
2006,1,1,"November"
2006,4,4,"November"
2006,3,3,"November"
2006,6,5,"November"
2006,3,3,"November"
2006,8,6,"November"
2006,7,7,"November"
2006,3,3,"November"
2006,6,5,"November"
2006,3,3,"November"
2006,3,3,"November"
2006,12,10,"November"
2006,5,4,"November"
2006,5,5,"November"
2006,1,1,"November"
2006,3,3,"November"
2006,6,6,"November"
2006,3,3,"November"
2006,14,14,"December"
2006,9,9,"December"
2006,8,8,"December"
2006,5,5,"December"
2006,1,1,"December"
2006,6,4,"December"
2006,4,4,"December"
2006,5,4,"December"
2006,3,3,"December"
2006,6,6,"December"
2006,7,7,"December"
2006,2,1,"December"
2006,3,3,"December"
2006,5,5,"December"
2006,9,7,"December"
2006,3,3,"December"
2006,1,1,"December"
2006,4,4,"December"
2006,4,3,"December"
2006,6,6,"December"
2006,5,5,"December"
2006,5,4,"December"
2006,8,7,"December"
2006,2,2,"December"
2006,9,9,"December"
2006,4,4,"December"
2006,4,3,"December"
2006,4,4,"December"
2006,1,1,"December"
2006,2,2,"December"
2006,5,5,"December"
2007,2,2,"January"
2007,4,4,"January"
2007,1,1,"January"
2007,5,4,"January"
2007,6,6,"January"
2007,4,4,"January"
2007,3,2,"January"
2007,3,2,"January"
2007,2,2,"January"
2007,0,0,"January"
2007,8,6,"January"
2007,5,5,"January"
2007,7,7,"January"
2007,8,8,"January"
2007,2,2,"January"
2007,10,9,"January"
2007,6,4,"January"
2007,1,1,"January"
2007,3,3,"January"
2007,5,5,"January"
2007,6,5,"January"
2007,1,1,"January"
2007,1,1,"January"
2007,5,4,"January"
2007,4,4,"January"
2007,8,7,"January"
2007,1,1,"January"
2007,8,7,"January"
2007,4,4,"January"
2007,6,6,"January"
2007,3,3,"January"
2007,3,3,"February"
2007,7,5,"February"
2007,2,2,"February"
2007,8,8,"February"
2007,3,3,"February"
2007,1,1,"February"
2007,2,2,"February"
2007,2,2,"February"
2007,9,6,"February"
2007,4,4,"February"
2007,4,4,"February"
2007,3,3,"February"
2007,1,1,"February"
2007,4,4,"February"
2007,2,2,"February"
2007,6,4,"February"
2007,8,7,"February"
2007,7,7,"February"
2007,3,3,"February"
2007,5,5,"February"
2007,7,6,"February"
2007,3,3,"February"
2007,4,4,"February"
2007,4,4,"February"
2007,7,7,"February"
2007,6,6,"February"
2007,4,4,"February"
2007,2,2,"February"
2007,3,3,"March"
2007,5,5,"March"
2007,4,4,"March"
2007,5,4,"March"
2007,3,3,"March"
2007,1,1,"March"
2007,13,13,"March"
2007,5,5,"March"
2007,6,6,"March"
2007,11,10,"March"
2007,7,7,"March"
2007,1,1,"March"
2007,3,3,"March"
2007,5,5,"March"
2007,2,2,"March"
2007,7,7,"March"
2007,10,9,"March"
2007,5,5,"March"
2007,2,2,"March"
2007,1,1,"March"
2007,4,4,"March"
2007,2,2,"March"
2007,8,6,"March"
2007,8,8,"March"
2007,3,2,"March"
2007,7,7,"March"
2007,3,3,"March"
2007,2,2,"March"
2007,3,3,"March"
2007,4,3,"March"
2007,6,6,"March"
2007,3,3,"April"
2007,3,3,"April"
2007,10,7,"April"
2007,5,4,"April"
2007,10,9,"April"
2007,3,3,"April"
2007,5,5,"April"
2007,5,5,"April"
2007,4,3,"April"
2007,3,3,"April"
2007,5,5,"April"
2007,4,3,"April"
2007,2,2,"April"
2007,5,5,"April"
2007,4,4,"April"
2007,3,3,"April"
2007,4,4,"April"
2007,4,4,"April"
2007,4,4,"April"
2007,7,7,"April"
2007,3,3,"April"
2007,0,0,"April"
2007,3,2,"April"
2007,4,3,"April"
2007,2,2,"April"
2007,8,4,"April"
2007,8,7,"April"
2007,9,8,"April"
2007,5,4,"April"
2007,1,1,"April"
2007,3,3,"May"
2007,5,4,"May"
2007,0,0,"May"
2007,2,2,"May"
2007,4,4,"May"
2007,5,4,"May"
2007,4,4,"May"
2007,4,4,"May"
2007,5,5,"May"
2007,5,4,"May"
2007,2,2,"May"
2007,7,7,"May"
2007,2,2,"May"
2007,0,0,"May"
2007,3,2,"May"
2007,7,7,"May"
2007,8,6,"May"
2007,4,4,"May"
2007,6,5,"May"
2007,7,7,"May"
2007,3,3,"May"
2007,9,8,"May"
2007,1,1,"May"
2007,3,3,"May"
2007,8,6,"May"
2007,8,8,"May"
2007,5,5,"May"
2007,2,2,"May"
2007,4,4,"May"
2007,3,3,"May"
2007,4,4,"May"
2007,2,2,"June"
2007,1,1,"June"
2007,5,5,"June"
2007,5,5,"June"
2007,13,3,"June"
2007,4,4,"June"
2007,1,1,"June"
2007,13,6,"June"
2007,3,3,"June"
2007,0,0,"June"
2007,1,1,"June"
2007,2,2,"June"
2007,2,2,"June"
2007,4,3,"June"
2007,3,3,"June"
2007,10,10,"June"
2007,3,3,"June"
2007,3,3,"June"
2007,4,4,"June"
2007,8,7,"June"
2007,2,2,"June"
2007,7,6,"June"
2007,11,10,"June"
2007,6,6,"June"
2007,3,3,"June"
2007,4,4,"June"
2007,3,3,"June"
2007,1,1,"June"
2007,5,4,"June"
2007,3,3,"June"
2007,3,3,"July"
2007,4,4,"July"
2007,8,7,"July"
2007,2,2,"July"
2007,5,5,"July"
2007,7,7,"July"
2007,2,2,"July"
2007,3,2,"July"
2007,2,2,"July"
2007,3,2,"July"
2007,3,3,"July"
2007,2,2,"July"
2007,1,1,"July"
2007,6,6,"July"
2007,5,5,"July"
2007,3,3,"July"
2007,4,4,"July"
2007,5,5,"July"
2007,8,8,"July"
2007,9,9,"July"
2007,5,5,"July"
2007,4,4,"July"
2007,4,4,"July"
2007,3,3,"July"
2007,3,3,"July"
2007,4,4,"July"
2007,6,4,"July"
2007,5,5,"July"
2007,6,4,"July"
2007,6,6,"July"
2007,3,3,"July"
2007,3,3,"August"
2007,3,3,"August"
2007,1,1,"August"
2007,2,2,"August"
2007,3,3,"August"
2007,4,4,"August"
2007,5,5,"August"
2007,2,2,"August"
2007,4,2,"August"
2007,10,10,"August"
2007,2,2,"August"
2007,5,5,"August"
2007,3,2,"August"
2007,4,4,"August"
2007,4,3,"August"
2007,1,1,"August"
2007,7,6,"August"
2007,8,8,"August"
2007,4,3,"August"
2007,5,3,"August"
2007,2,2,"August"
2007,6,5,"August"
2007,1,1,"August"
2007,9,8,"August"
2007,3,3,"August"
2007,4,3,"August"
2007,8,7,"August"
2007,3,3,"August"
2007,4,4,"August"
2007,6,5,"August"
2007,2,2,"August"
2007,1,1,"September"
2007,1,1,"September"
2007,3,3,"September"
2007,2,2,"September"
2007,2,2,"September"
2007,9,9,"September"
2007,3,3,"September"
2007,4,4,"September"
2007,5,5,"September"
2007,1,1,"September"
2007,4,4,"September"
2007,2,2,"September"
2007,3,3,"September"
2007,7,6,"September"
2007,6,6,"September"
2007,7,7,"September"
2007,5,4,"September"
2007,1,1,"September"
2007,4,4,"September"
2007,4,3,"September"
2007,8,7,"September"
2007,6,5,"September"
2007,4,4,"September"
2007,5,5,"September"
2007,4,4,"September"
2007,1,1,"September"
2007,3,3,"September"
2007,5,5,"September"
2007,6,6,"September"
2007,4,3,"September"
2007,2,2,"October"
2007,3,2,"October"
2007,1,1,"October"
2007,2,2,"October"
2007,9,7,"October"
2007,7,3,"October"
2007,7,7,"October"
2007,4,4,"October"
2007,2,2,"October"
2007,2,2,"October"
2007,5,5,"October"
2007,2,2,"October"
2007,6,6,"October"
2007,6,6,"October"
2007,3,3,"October"
2007,5,5,"October"
2007,2,2,"October"
2007,2,2,"October"
2007,2,2,"October"
2007,1,1,"October"
2007,8,7,"October"
2007,7,7,"October"
2007,0,0,"October"
2007,4,3,"October"
2007,6,6,"October"
2007,1,1,"October"
2007,2,2,"October"
2007,4,3,"October"
2007,8,8,"October"
2007,5,5,"October"
2007,11,9,"October"
2007,1,1,"November"
2007,6,5,"November"
2007,6,5,"November"
2007,7,6,"November"
2007,3,3,"November"
2007,3,3,"November"
2007,4,4,"November"
2007,1,1,"November"
2007,3,2,"November"
2007,0,0,"November"
2007,8,8,"November"
2007,4,4,"November"
2007,4,4,"November"
2007,5,5,"November"
2007,2,2,"November"
2007,6,5,"November"
2007,11,8,"November"
2007,5,5,"November"
2007,0,0,"November"
2007,2,1,"November"
2007,7,7,"November"
2007,6,6,"November"
2007,2,2,"November"
2007,8,8,"November"
2007,4,4,"November"
2007,3,3,"November"
2007,4,4,"November"
2007,5,4,"November"
2007,5,4,"November"
2007,6,5,"November"
2007,9,9,"December"
2007,7,7,"December"
2007,3,2,"December"
2007,3,3,"December"
2007,6,5,"December"
2007,7,7,"December"
2007,13,5,"December"
2007,4,4,"December"
2007,10,5,"December"
2007,4,4,"December"
2007,5,5,"December"
2007,4,4,"December"
2007,9,9,"December"
2007,3,3,"December"
2007,2,2,"December"
2007,5,1,"December"
2007,5,5,"December"
2007,10,9,"December"
2007,5,4,"December"
2007,7,5,"December"
2007,11,10,"December"
2007,1,1,"December"
2007,1,1,"December"
2007,1,1,"December"
2007,2,2,"December"
2007,7,7,"December"
2007,5,5,"December"
2007,1,1,"December"
2007,6,6,"December"
2007,1,1,"December"
2007,1,1,"December"
2008,2,2,"January"
2008,0,0,"January"
2008,8,8,"January"
2008,1,1,"January"
2008,7,4,"January"
2008,6,6,"January"
2008,5,4,"January"
2008,3,2,"January"
2008,11,9,"January"
2008,1,1,"January"
2008,6,5,"January"
2008,1,1,"January"
2008,5,4,"January"
2008,3,3,"January"
2008,1,1,"January"
2008,1,1,"January"
2008,5,5,"January"
2008,4,4,"January"
2008,2,2,"January"
2008,2,2,"January"
2008,0,0,"January"
2008,4,3,"January"
2008,3,3,"January"
2008,1,1,"January"
2008,4,3,"January"
2008,2,2,"January"
2008,4,3,"January"
2008,6,6,"January"
2008,3,3,"January"
2008,8,7,"January"
2008,3,3,"January"
2008,4,3,"February"
2008,4,4,"February"
2008,1,1,"February"
2008,5,4,"February"
2008,2,2,"February"
2008,5,4,"February"
2008,5,4,"February"
2008,3,3,"February"
2008,6,6,"February"
2008,3,3,"February"
2008,6,6,"February"
2008,3,3,"February"
2008,2,2,"February"
2008,0,0,"February"
2008,1,1,"February"
2008,4,4,"February"
2008,5,5,"February"
2008,4,4,"February"
2008,2,2,"February"
2008,0,0,"February"
2008,1,1,"February"
2008,5,5,"February"
2008,8,7,"February"
2008,7,5,"February"
2008,2,2,"February"
2008,3,3,"February"
2008,3,3,"February"
2008,3,3,"February"
2008,6,4,"February"
2008,8,8,"March"
2008,8,6,"March"
2008,1,1,"March"
2008,2,2,"March"
2008,4,2,"March"
2008,5,5,"March"
2008,9,7,"March"
2008,8,8,"March"
2008,6,5,"March"
2008,4,4,"March"
2008,3,3,"March"
2008,1,1,"March"
2008,4,4,"March"
2008,5,3,"March"
2008,8,8,"March"
2008,8,8,"March"
2008,2,2,"March"
2008,3,3,"March"
2008,1,1,"March"
2008,2,2,"March"
2008,5,5,"March"
2008,6,5,"March"
2008,4,3,"March"
2008,3,2,"March"
2008,5,5,"March"
2008,4,3,"March"
2008,2,2,"March"
2008,4,4,"March"
2008,2,2,"March"
2008,3,3,"March"
2008,4,3,"March"
2008,2,2,"April"
2008,5,4,"April"
2008,2,2,"April"
2008,5,5,"April"
2008,13,13,"April"
2008,4,4,"April"
2008,3,3,"April"
2008,2,1,"April"
2008,3,3,"April"
2008,4,3,"April"
2008,7,7,"April"
2008,1,1,"April"
2008,3,3,"April"
2008,4,4,"April"
2008,1,1,"April"
2008,2,2,"April"
2008,2,2,"April"
2008,6,6,"April"
2008,6,6,"April"
2008,4,4,"April"
2008,1,1,"April"
2008,2,2,"April"
2008,3,3,"April"
2008,4,4,"April"
2008,4,3,"April"
2008,4,3,"April"
2008,7,6,"April"
2008,3,3,"April"
2008,1,1,"April"
2008,0,0,"April"
2008,5,5,"May"
2008,5,4,"May"
2008,7,6,"May"
2008,2,2,"May"
2008,4,4,"May"
2008,6,6,"May"
2008,5,5,"May"
2008,3,3,"May"
2008,3,3,"May"
2008,1,1,"May"
2008,3,3,"May"
2008,3,3,"May"
2008,5,5,"May"
2008,3,3,"May"
2008,2,2,"May"
2008,5,4,"May"
2008,7,7,"May"
2008,4,4,"May"
2008,2,2,"May"
2008,2,2,"May"
2008,1,1,"May"
2008,5,5,"May"
2008,4,4,"May"
2008,4,3,"May"
2008,4,4,"May"
2008,0,0,"May"
2008,4,4,"May"
2008,3,3,"May"
2008,3,3,"May"
2008,1,1,"May"
2008,2,2,"May"
2008,1,1,"June"
2008,3,3,"June"
2008,2,2,"June"
2008,2,2,"June"
2008,5,5,"June"
2008,3,3,"June"
2008,3,3,"June"
2008,7,7,"June"
2008,4,3,"June"
2008,3,3,"June"
2008,2,2,"June"
2008,10,9,"June"
2008,4,3,"June"
2008,4,3,"June"
2008,2,2,"June"
2008,5,5,"June"
2008,0,0,"June"
2008,3,3,"June"
2008,5,3,"June"
2008,9,8,"June"
2008,6,5,"June"
2008,9,9,"June"
2008,3,3,"June"
2008,1,1,"June"
2008,2,1,"June"
2008,3,3,"June"
2008,5,2,"June"
2008,8,6,"June"
2008,3,3,"June"
2008,7,6,"June"
2008,8,7,"July"
2008,1,1,"July"
2008,4,4,"July"
2008,3,3,"July"
2008,10,8,"July"
2008,3,3,"July"
2008,3,3,"July"
2008,3,3,"July"
2008,5,5,"July"
2008,2,2,"July"
2008,5,3,"July"
2008,3,3,"July"
2008,7,6,"July"
2008,2,2,"July"
2008,3,3,"July"
2008,1,1,"July"
2008,4,4,"July"
2008,4,3,"July"
2008,2,2,"July"
2008,4,4,"July"
2008,3,2,"July"
2008,1,1,"July"
2008,2,2,"July"
2008,3,3,"July"
2008,8,7,"July"
2008,8,8,"July"
2008,7,7,"July"
2008,5,4,"July"
2008,2,2,"July"
2008,5,5,"July"
2008,3,3,"July"
2008,6,6,"August"
2008,6,5,"August"
2008,3,3,"August"
2008,4,4,"August"
2008,4,3,"August"
2008,6,6,"August"
2008,7,7,"August"
2008,2,2,"August"
2008,4,4,"August"
2008,8,8,"August"
2008,4,4,"August"
2008,4,3,"August"
2008,3,3,"August"
2008,2,2,"August"
2008,6,5,"August"
2008,7,5,"August"
2008,2,2,"August"
2008,1,1,"August"
2008,5,5,"August"
2008,0,0,"August"
2008,3,3,"August"
2008,8,8,"August"
2008,9,7,"August"
2008,5,4,"August"
2008,1,1,"August"
2008,3,3,"August"
2008,1,1,"August"
2008,3,3,"August"
2008,7,5,"August"
2008,8,6,"August"
2008,7,7,"August"
2008,2,2,"September"
2008,2,2,"September"
2008,1,1,"September"
2008,7,5,"September"
2008,1,1,"September"
2008,5,4,"September"
2008,0,0,"September"
2008,1,1,"September"
2008,6,6,"September"
2008,3,3,"September"
2008,3,2,"September"
2008,6,6,"September"
2008,8,8,"September"
2008,2,2,"September"
2008,5,4,"September"
2008,3,3,"September"
2008,1,1,"September"
2008,7,6,"September"
2008,7,4,"September"
2008,5,3,"September"
2008,6,6,"September"
2008,1,1,"September"
2008,1,1,"September"
2008,5,5,"September"
2008,3,3,"September"
2008,2,2,"September"
2008,7,6,"September"
2008,7,7,"September"
2008,2,2,"September"
2008,1,1,"September"
2008,6,6,"October"
2008,8,7,"October"
2008,7,7,"October"
2008,2,2,"October"
2008,3,3,"October"
2008,5,4,"October"
2008,5,2,"October"
2008,6,6,"October"
2008,4,4,"October"
2008,6,5,"October"
2008,2,2,"October"
2008,5,4,"October"
2008,2,2,"October"
2008,5,5,"October"
2008,2,2,"October"
2008,1,1,"October"
2008,6,6,"October"
2008,3,3,"October"
2008,4,4,"October"
2008,0,0,"October"
2008,1,1,"October"
2008,1,1,"October"
2008,2,2,"October"
2008,6,5,"October"
2008,7,6,"October"
2008,9,9,"October"
2008,4,4,"October"
2008,2,1,"October"
2008,1,1,"October"
2008,8,6,"October"
2008,2,1,"October"
2008,5,5,"November"
2008,3,2,"November"
2008,2,2,"November"
2008,4,4,"November"
2008,5,4,"November"
2008,2,2,"November"
2008,3,2,"November"
2008,5,5,"November"
2008,6,6,"November"
2008,0,0,"November"
2008,1,1,"November"
2008,3,3,"November"
2008,6,6,"November"
2008,5,5,"November"
2008,3,3,"November"
2008,5,4,"November"
2008,2,2,"November"
2008,5,5,"November"
2008,2,2,"November"
2008,8,6,"November"
2008,6,5,"November"
2008,4,4,"November"
2008,3,3,"November"
2008,4,4,"November"
2008,1,1,"November"
2008,2,2,"November"
2008,9,8,"November"
2008,5,4,"November"
2008,4,4,"November"
2008,3,3,"November"
2008,2,2,"December"
2008,5,5,"December"
2008,7,6,"December"
2008,3,3,"December"
2008,3,3,"December"
2008,8,8,"December"
2008,1,1,"December"
2008,5,5,"December"
2008,1,1,"December"
2008,3,3,"December"
2008,5,5,"December"
2008,4,4,"December"
2008,8,7,"December"
2008,4,4,"December"
2008,4,4,"December"
2008,7,7,"December"
2008,3,3,"December"
2008,11,10,"December"
2008,5,5,"December"
2008,7,7,"December"
2008,5,5,"December"
2008,4,4,"December"
2008,5,5,"December"
2008,6,6,"December"
2008,3,3,"December"
2008,2,2,"December"
2008,2,2,"December"
2008,6,5,"December"
2008,1,1,"December"
2008,3,3,"December"
2008,1,1,"December"
2009,7,6,"January"
2009,1,1,"January"
2009,3,3,"January"
2009,4,4,"January"
2009,2,2,"January"
2009,2,2,"January"
2009,6,5,"January"
2009,0,0,"January"
2009,7,6,"January"
2009,1,1,"January"
2009,5,5,"January"
2009,0,0,"January"
2009,4,4,"January"
2009,2,2,"January"
2009,10,9,"January"
2009,3,3,"January"
2009,3,3,"January"
2009,5,5,"January"
2009,3,3,"January"
2009,0,0,"January"
2009,3,3,"January"
2009,4,4,"January"
2009,2,2,"January"
2009,2,2,"January"
2009,3,3,"January"
2009,6,6,"January"
2009,3,3,"January"
2009,7,5,"January"
2009,5,3,"January"
2009,4,4,"January"
2009,8,5,"January"
2009,2,2,"February"
2009,4,2,"February"
2009,3,3,"February"
2009,1,1,"February"
2009,1,1,"February"
2009,7,6,"February"
2009,11,11,"February"
2009,9,5,"February"
2009,1,1,"February"
2009,5,5,"February"
2009,8,8,"February"
2009,7,7,"February"
2009,7,7,"February"
2009,8,7,"February"
2009,3,2,"February"
2009,2,2,"February"
2009,4,4,"February"
2009,2,1,"February"
2009,4,4,"February"
2009,1,1,"February"
2009,3,3,"February"
2009,9,7,"February"
2009,3,3,"February"
2009,7,6,"February"
2009,0,0,"February"
2009,0,0,"February"
2009,2,2,"February"
2009,3,3,"February"
2009,4,3,"March"
2009,2,2,"March"
2009,1,1,"March"
2009,4,4,"March"
2009,7,7,"March"
2009,2,2,"March"
2009,2,2,"March"
2009,6,5,"March"
2009,2,2,"March"
2009,3,3,"March"
2009,3,3,"March"
2009,5,4,"March"
2009,4,3,"March"
2009,7,7,"March"
2009,6,6,"March"
2009,3,3,"March"
2009,2,2,"March"
2009,4,4,"March"
2009,3,3,"March"
2009,7,5,"March"
2009,2,2,"March"
2009,9,9,"March"
2009,4,3,"March"
2009,5,5,"March"
2009,10,8,"March"
2009,3,3,"March"
2009,2,2,"March"
2009,7,6,"March"
2009,5,4,"March"
2009,6,6,"March"
2009,2,2,"March"
2009,4,4,"April"
2009,6,6,"April"
2009,4,4,"April"
2009,6,5,"April"
2009,11,8,"April"
2009,2,2,"April"
2009,3,3,"April"
2009,7,7,"April"
2009,3,3,"April"
2009,5,5,"April"
2009,4,4,"April"
2009,3,2,"April"
2009,4,4,"April"
2009,5,4,"April"
2009,3,3,"April"
2009,9,6,"April"
2009,1,1,"April"
2009,6,5,"April"
2009,3,3,"April"
2009,2,2,"April"
2009,6,5,"April"
2009,3,3,"April"
2009,2,2,"April"
2009,15,13,"April"
2009,8,7,"April"
2009,5,4,"April"
2009,4,4,"April"
2009,5,5,"April"
2009,6,3,"April"
2009,8,7,"April"
2009,8,7,"May"
2009,5,3,"May"
2009,5,3,"May"
2009,5,5,"May"
2009,0,0,"May"
2009,5,5,"May"
2009,4,4,"May"
2009,12,8,"May"
2009,8,7,"May"
2009,3,3,"May"
2009,6,6,"May"
2009,6,6,"May"
2009,2,1,"May"
2009,3,3,"May"
2009,3,3,"May"
2009,3,3,"May"
2009,4,4,"May"
2009,2,2,"May"
2009,3,3,"May"
2009,1,1,"May"
2009,6,4,"May"
2009,7,4,"May"
2009,1,1,"May"
2009,5,5,"May"
2009,1,1,"May"
2009,6,6,"May"
2009,1,1,"May"
2009,3,3,"May"
2009,1,1,"May"
2009,7,6,"May"
2009,4,4,"May"
2009,1,1,"June"
2009,6,5,"June"
2009,5,5,"June"
2009,7,7,"June"
2009,2,2,"June"
2009,3,3,"June"
2009,11,9,"June"
2009,3,3,"June"
2009,3,3,"June"
2009,5,5,"June"
2009,5,4,"June"
2009,3,3,"June"
2009,9,9,"June"
2009,3,3,"June"
2009,3,3,"June"
2009,4,3,"June"
2009,3,3,"June"
2009,2,2,"June"
2009,4,4,"June"
2009,7,5,"June"
2009,3,3,"June"
2009,6,5,"June"
2009,4,4,"June"
2009,0,0,"June"
2009,2,2,"June"
2009,5,5,"June"
2009,1,1,"June"
2009,11,8,"June"
2009,4,3,"June"
2009,6,5,"June"
2009,3,3,"July"
2009,3,3,"July"
2009,3,3,"July"
2009,3,3,"July"
2009,4,4,"July"
2009,2,2,"July"
2009,3,3,"July"
2009,1,1,"July"
2009,15,10,"July"
2009,6,6,"July"
2009,3,2,"July"
2009,2,2,"July"
2009,1,1,"July"
2009,3,3,"July"
2009,2,2,"July"
2009,4,4,"July"
2009,5,4,"July"
2009,3,2,"July"
2009,3,2,"July"
2009,2,2,"July"
2009,2,1,"July"
2009,6,5,"July"
2009,4,4,"July"
2009,1,1,"July"
2009,4,4,"July"
2009,2,2,"July"
2009,3,3,"July"
2009,7,6,"July"
2009,2,2,"July"
2009,3,3,"July"
2009,4,4,"July"
2009,9,7,"August"
2009,7,7,"August"
2009,2,2,"August"
2009,2,2,"August"
2009,3,3,"August"
2009,2,2,"August"
2009,4,4,"August"
2009,6,6,"August"
2009,2,2,"August"
2009,3,3,"August"
2009,5,4,"August"
2009,3,3,"August"
2009,8,7,"August"
2009,4,4,"August"
2009,1,1,"August"
2009,5,4,"August"
2009,4,4,"August"
2009,0,0,"August"
2009,2,1,"August"
2009,6,6,"August"
2009,3,3,"August"
2009,3,3,"August"
2009,2,2,"August"
2009,0,0,"August"
2009,3,3,"August"
2009,0,0,"August"
2009,9,7,"August"
2009,11,8,"August"
2009,2,2,"August"
2009,3,3,"August"
2009,3,2,"August"
2009,4,4,"September"
2009,3,3,"September"
2009,0,0,"September"
2009,2,2,"September"
2009,4,4,"September"
2009,6,6,"September"
2009,3,3,"September"
2009,2,2,"September"
2009,5,5,"September"
2009,2,2,"September"
2009,5,4,"September"
2009,6,6,"September"
2009,4,4,"September"
2009,5,5,"September"
2009,4,3,"September"
