"State","Year","CrashType","DeadPersonType","Gender","Age","StateFullForm"
"SA",1989,"Multiple","Driver","Female",21,"South Australia"
"VIC",1989,"Multiple","Unknown","Female",61,"Victoria"
"NSW",1989,"Single","Driver","Male",23,"New South Wales"
"NSW",1989,"Single","Driver","Female",56,"New South Wales"
"NSW",1989,"Multiple","Driver","Male",60,"New South Wales"
"NSW",1989,"Multiple","Driver","Male",44,"New South Wales"
"VIC",1989,"Single","Driver","Male",23,"Victoria"
"TAS",1989,"Single","Pedestrian","Female",21,"Tasmania"
"NSW",1989,"Single","Driver","Male",22,"New South Wales"
"NSW",1989,"Single","Driver","Male",50,"New South Wales"
"VIC",1989,"Single","Pedestrian","Female",74,"Victoria"
"QLD",1989,"Single","Pedestrian","Female",81,"Queensland"
"VIC",1989,"Multiple","Driver","Female",20,"Victoria"
"NSW",1989,"Single","Driver","Male",23,"New South Wales"
"QLD",1989,"Single","Passenger","Male",18,"Queensland"
"QLD",1989,"Multiple","Pedestrian","Male",27,"Queensland"
"TAS",1989,"Multiple","Driver","Female",20,"Tasmania"
"QLD",1989,"Multiple","Passenger","Female",15,"Queensland"
"ACT",1989,"Single","Motorcycle pillion passenger","Male",21,"Austialian Capital Territory"
"NSW",1989,"Single","Driver","Male",45,"New South Wales"
"SA",1989,"Multiple","Driver","Male",40,"South Australia"
"WA",1989,"Single","Passenger","Female",41,"West Australia"
"NSW",1989,"Single","Driver","Male",67,"New South Wales"
"VIC",1989,"Single","Driver","Male",42,"Victoria"
"NSW",1989,"Multiple","Driver","Male",48,"New South Wales"
"QLD",1989,"Single","Driver","Female",41,"Queensland"
"NSW",1989,"Single","Pedestrian","Male",38,"New South Wales"
"NSW",1989,"Single","Passenger","Male",30,"New South Wales"
"NSW",1989,"Single","Driver","Male",20,"New South Wales"
"TAS",1989,"Single","Passenger","Male",46,"Tasmania"
"QLD",1989,"Multiple","Driver","Male",33,"Queensland"
"VIC",1989,"Multiple","Driver","Male",38,"Victoria"
"VIC",1989,"Single","Motorcycle rider","Male",23,"Victoria"
"VIC",1989,"Single","Pedestrian","Female",1,"Victoria"
"QLD",1989,"Single","Passenger","Male",74,"Queensland"
"NSW",1989,"Multiple","Driver","Female",24,"New South Wales"
"SA",1989,"Single","Pedestrian","Male",47,"South Australia"
"QLD",1989,"Single","Driver","Male",21,"Queensland"
"NSW",1989,"Multiple","Pedestrian","Male",32,"New South Wales"
"VIC",1989,"Single","Driver","Female",66,"Victoria"
"NSW",1989,"Multiple","Passenger","Male",62,"New South Wales"
"WA",1989,"Multiple","Driver","Male",25,"West Australia"
"QLD",1989,"Multiple","Pedal cyclist","Male",17,"Queensland"
"TAS",1989,"Single","Passenger","Female",63,"Tasmania"
"SA",1989,"Single","Driver","Male",35,"South Australia"
"WA",1989,"Single","Pedestrian","Male",26,"West Australia"
"NSW",1989,"Single","Pedestrian","Male",78,"New South Wales"
"QLD",1989,"Multiple","Pedal cyclist","Male",47,"Queensland"
"WA",1989,"Multiple","Driver","Male",27,"West Australia"
"VIC",1989,"Single","Pedestrian","Male",52,"Victoria"
"WA",1989,"Single","Driver","Female",64,"West Australia"
"NSW",1989,"Multiple","Passenger","Female",53,"New South Wales"
"NSW",1989,"Single","Driver","Male",22,"New South Wales"
"WA",1989,"Single","Driver","Male",42,"West Australia"
"QLD",1989,"Single","Driver","Male",39,"Queensland"
"VIC",1989,"Single","Pedestrian","Male",6,"Victoria"
"QLD",1989,"Multiple","Pedal cyclist","Male",44,"Queensland"
"WA",1989,"Multiple","Driver","Female",37,"West Australia"
"TAS",1989,"Multiple","Passenger","Female",2,"Tasmania"
"QLD",1989,"Multiple","Driver","Male",54,"Queensland"
"NSW",1989,"Single","Passenger","Male",4,"New South Wales"
"QLD",1989,"Single","Pedal cyclist","Male",70,"Queensland"
"QLD",1989,"Single","Passenger","Male",8,"Queensland"
"QLD",1989,"Single","Pedestrian","Male",21,"Queensland"
"VIC",1989,"Multiple","Pedestrian","Male",40,"Victoria"
"NSW",1989,"Multiple","Pedal cyclist","Male",40,"New South Wales"
"NSW",1989,"Multiple","Passenger","Male",49,"New South Wales"
"NSW",1989,"Multiple","Driver","Female",74,"New South Wales"
"NSW",1989,"Single","Driver","Male",65,"New South Wales"
"VIC",1989,"Single","Pedestrian","Male",29,"Victoria"
"QLD",1989,"Multiple","Pedal cyclist","Male",8,"Queensland"
"QLD",1989,"Multiple","Motorcycle rider","Male",36,"Queensland"
"VIC",1989,"Multiple","Motorcycle rider","Male",23,"Victoria"
"NSW",1989,"Multiple","Motorcycle rider","Male",26,"New South Wales"
"WA",1989,"Multiple","Driver","Male",73,"West Australia"
"NT",1989,"Single","Driver","Female",41,"Northern Territory"
"NSW",1989,"Multiple","Driver","Female",43,"New South Wales"
"NSW",1989,"Multiple","Driver","Female",30,"New South Wales"
"VIC",1989,"Single","Passenger","Male",18,"Victoria"
"WA",1989,"Single","Driver","Male",17,"West Australia"
"VIC",1989,"Multiple","Driver","Female",52,"Victoria"
"NSW",1989,"Single","Pedestrian","Male",83,"New South Wales"
"NSW",1989,"Single","Driver","Male",25,"New South Wales"
"NSW",1989,"Single","Pedestrian","Female",67,"New South Wales"
"SA",1989,"Single","Passenger","Female",21,"South Australia"
"NSW",1989,"Single","Passenger","Male",27,"New South Wales"
"NSW",1989,"Multiple","Motorcycle rider","Male",60,"New South Wales"
"NT",1989,"Single","Passenger","Male",27,"Northern Territory"
"NSW",1989,"Single","Passenger","Male",18,"New South Wales"
"NSW",1989,"Single","Driver","Male",17,"New South Wales"
"NSW",1989,"Multiple","Driver","Male",48,"New South Wales"
"NSW",1989,"Single","Passenger","Male",7,"New South Wales"
"NSW",1989,"Single","Motorcycle rider","Male",67,"New South Wales"
"TAS",1989,"Multiple","Passenger","Male",36,"Tasmania"
"WA",1989,"Multiple","Driver","Female",21,"West Australia"
"WA",1989,"Single","Motorcycle rider","Male",29,"West Australia"
"VIC",1989,"Single","Passenger","Female",45,"Victoria"
"NSW",1989,"Single","Driver","Male",56,"New South Wales"
"QLD",1989,"Single","Driver","Female",24,"Queensland"
"WA",1989,"Single","Pedestrian","Female",30,"West Australia"
"VIC",1989,"Single","Driver","Female",28,"Victoria"
"SA",1989,"Multiple","Passenger","Female",67,"South Australia"
"VIC",1989,"Single","Pedestrian","Female",61,"Victoria"
"VIC",1989,"Single","Pedestrian","Male",6,"Victoria"
"ACT",1989,"Multiple","Driver","Male",19,"Austialian Capital Territory"
"SA",1989,"Single","Passenger","Male",45,"South Australia"
"NT",1989,"Single","Driver","Male",33,"Northern Territory"
"VIC",1989,"Multiple","Driver","Male",52,"Victoria"
"VIC",1989,"Single","Motorcycle rider","Male",33,"Victoria"
"NSW",1989,"Single","Pedestrian","Male",80,"New South Wales"
"WA",1989,"Multiple","Motorcycle rider","Male",35,"West Australia"
"NSW",1989,"Single","Driver","Male",25,"New South Wales"
"VIC",1989,"Single","Passenger","Male",17,"Victoria"
"VIC",1989,"Single","Pedestrian","Male",21,"Victoria"
"NT",1989,"Single","Driver","Male",28,"Northern Territory"
"WA",1989,"Single","Driver","Female",36,"West Australia"
"VIC",1989,"Single","Driver","Male",24,"Victoria"
"QLD",1989,"Multiple","Pedestrian","Female",41,"Queensland"
"NT",1989,"Single","Driver","Male",20,"Northern Territory"
"QLD",1989,"Single","Driver","Male",18,"Queensland"
"NSW",1989,"Single","Driver","Male",76,"New South Wales"
"NSW",1989,"Multiple","Driver","Male",26,"New South Wales"
"NSW",1989,"Multiple","Motorcycle rider","Male",46,"New South Wales"
"VIC",1989,"Multiple","Pedestrian","Male",65,"Victoria"
"NSW",1989,"Single","Driver","Male",22,"New South Wales"
"NSW",1989,"Multiple","Driver","Female",19,"New South Wales"
"VIC",1989,"Multiple","Passenger","Female",16,"Victoria"
"VIC",1989,"Single","Pedestrian","Male",68,"Victoria"
"SA",1989,"Single","Passenger","Male",19,"South Australia"
"VIC",1989,"Multiple","Driver","Male",24,"Victoria"
"VIC",1989,"Multiple","Driver","Male",62,"Victoria"
"NT",1989,"Multiple","Pedestrian","Male",45,"Northern Territory"
"NSW",1989,"Single","Driver","Male",18,"New South Wales"
"VIC",1989,"Multiple","Passenger","Female",86,"Victoria"
"VIC",1989,"Single","Pedestrian","Male",66,"Victoria"
"QLD",1989,"Single","Passenger","Male",18,"Queensland"
"QLD",1989,"Single","Passenger","Male",15,"Queensland"
"NSW",1989,"Single","Driver","Male",23,"New South Wales"
"VIC",1989,"Single","Pedestrian","Male",12,"Victoria"
"NSW",1989,"Single","Motorcycle rider","Male",55,"New South Wales"
"VIC",1989,"Multiple","Passenger","Female",54,"Victoria"
"NSW",1989,"Single","Driver","Male",48,"New South Wales"
"VIC",1989,"Multiple","Passenger","Female",14,"Victoria"
"NSW",1989,"Multiple","Driver","Female",75,"New South Wales"
"VIC",1989,"Multiple","Pedestrian","Unknown",-9,"Victoria"
"QLD",1989,"Single","Driver","Female",26,"Queensland"
"SA",1989,"Single","Driver","Male",21,"South Australia"
"VIC",1989,"Multiple","Pedal cyclist","Male",9,"Victoria"
"TAS",1989,"Multiple","Motorcycle rider","Male",17,"Tasmania"
"NSW",1989,"Single","Driver","Male",22,"New South Wales"
"WA",1989,"Single","Motorcycle rider","Male",32,"West Australia"
"VIC",1989,"Single","Driver","Male",21,"Victoria"
"QLD",1989,"Multiple","Passenger","Female",35,"Queensland"
"QLD",1989,"Single","Passenger","Female",67,"Queensland"
"VIC",1989,"Multiple","Pedal cyclist","Female",32,"Victoria"
"QLD",1989,"Single","Driver","Male",51,"Queensland"
"NT",1989,"Single","Pedestrian","Male",37,"Northern Territory"
"NSW",1989,"Single","Pedestrian","Female",15,"New South Wales"
"VIC",1989,"Single","Driver","Male",37,"Victoria"
"NSW",1989,"Single","Driver","Male",23,"New South Wales"
"QLD",1989,"Single","Passenger","Male",17,"Queensland"
"VIC",1989,"Single","Pedestrian","Male",82,"Victoria"
"QLD",1989,"Multiple","Pedestrian","Male",27,"Queensland"
"VIC",1989,"Single","Passenger","Female",44,"Victoria"
"SA",1989,"Single","Driver","Male",29,"South Australia"
"QLD",1989,"Single","Driver","Male",71,"Queensland"
"WA",1989,"Single","Driver","Male",42,"West Australia"
"WA",1989,"Single","Driver","Male",19,"West Australia"
"SA",1989,"Multiple","Driver","Female",55,"South Australia"
"VIC",1989,"Single","Passenger","Male",24,"Victoria"
"WA",1989,"Single","Pedal cyclist","Male",51,"West Australia"
"NSW",1989,"Single","Driver","Male",23,"New South Wales"
"NT",1989,"Single","Driver","Male",37,"Northern Territory"
"QLD",1989,"Single","Driver","Male",37,"Queensland"
"WA",1989,"Multiple","Passenger","Female",45,"West Australia"
"NSW",1989,"Single","Passenger","Female",93,"New South Wales"
"WA",1989,"Multiple","Driver","Male",86,"West Australia"
"NSW",1989,"Single","Driver","Male",67,"New South Wales"
"QLD",1989,"Multiple","Driver","Male",17,"Queensland"
"SA",1989,"Multiple","Passenger","Female",61,"South Australia"
"SA",1989,"Single","Driver","Male",53,"South Australia"
"QLD",1989,"Multiple","Motorcycle rider","Male",32,"Queensland"
"QLD",1989,"Single","Driver","Male",27,"Queensland"
"NSW",1989,"Single","Passenger","Male",12,"New South Wales"
"VIC",1989,"Multiple","Driver","Male",73,"Victoria"
"SA",1989,"Multiple","Driver","Male",30,"South Australia"
"WA",1989,"Single","Driver","Male",33,"West Australia"
"VIC",1989,"Single","Pedestrian","Male",78,"Victoria"
"NSW",1989,"Single","Motorcycle rider","Male",39,"New South Wales"
"NSW",1989,"Multiple","Passenger","Female",45,"New South Wales"
"VIC",1989,"Single","Passenger","Male",22,"Victoria"
"VIC",1989,"Multiple","Driver","Male",27,"Victoria"
"QLD",1989,"Multiple","Driver","Male",26,"Queensland"
"WA",1989,"Single","Passenger","Male",20,"West Australia"
"VIC",1989,"Single","Motorcycle rider","Male",57,"Victoria"
"QLD",1989,"Single","Driver","Female",64,"Queensland"
"NSW",1989,"Single","Passenger","Male",39,"New South Wales"
"SA",1989,"Single","Passenger","Female",1,"South Australia"
"NSW",1989,"Single","Passenger","Male",14,"New South Wales"
"TAS",1989,"Single","Motorcycle rider","Male",28,"Tasmania"
"WA",1989,"Single","Motorcycle rider","Male",50,"West Australia"
"QLD",1989,"Single","Driver","Male",54,"Queensland"
"NSW",1989,"Multiple","Pedal cyclist","Male",35,"New South Wales"
"QLD",1989,"Single","Passenger","Male",39,"Queensland"
"VIC",1989,"Multiple","Driver","Male",48,"Victoria"
"VIC",1989,"Multiple","Driver","Female",50,"Victoria"
"VIC",1989,"Single","Pedestrian","Female",45,"Victoria"
"VIC",1989,"Single","Passenger","Male",28,"Victoria"
"WA",1989,"Single","Passenger","Male",19,"West Australia"
"VIC",1989,"Multiple","Passenger","Male",34,"Victoria"
"NSW",1989,"Multiple","Motorcycle rider","Male",25,"New South Wales"
"NSW",1989,"Single","Driver","Male",24,"New South Wales"
"SA",1989,"Single","Passenger","Female",55,"South Australia"
"NSW",1989,"Multiple","Driver","Male",38,"New South Wales"
"TAS",1989,"Single","Driver","Male",30,"Tasmania"
"VIC",1989,"Single","Driver","Male",23,"Victoria"
"QLD",1989,"Multiple","Driver","Male",62,"Queensland"
"QLD",1989,"Multiple","Pedestrian","Male",22,"Queensland"
"NSW",1989,"Single","Pedestrian","Male",89,"New South Wales"
"VIC",1989,"Multiple","Driver","Female",82,"Victoria"
"VIC",1989,"Single","Driver","Male",67,"Victoria"
"NSW",1989,"Single","Driver","Male",53,"New South Wales"
"NSW",1989,"Single","Passenger","Male",63,"New South Wales"
"VIC",1989,"Multiple","Pedal cyclist","Male",16,"Victoria"
"VIC",1989,"Single","Motorcycle rider","Male",20,"Victoria"
"NSW",1989,"Single","Passenger","Male",18,"New South Wales"
"WA",1989,"Multiple","Passenger","Female",39,"West Australia"
"WA",1989,"Multiple","Driver","Male",72,"West Australia"
"NSW",1989,"Single","Motorcycle rider","Male",50,"New South Wales"
"VIC",1989,"Single","Pedestrian","Male",32,"Victoria"
"QLD",1989,"Multiple","Motorcycle rider","Male",58,"Queensland"
"NSW",1989,"Multiple","Driver","Male",73,"New South Wales"
"QLD",1989,"Multiple","Driver","Male",21,"Queensland"
"WA",1989,"Single","Driver","Female",-9,"West Australia"
"VIC",1989,"Multiple","Motorcycle rider","Male",53,"Victoria"
"QLD",1989,"Single","Driver","Male",65,"Queensland"
"QLD",1989,"Multiple","Driver","Female",17,"Queensland"
"WA",1989,"Multiple","Passenger","Female",52,"West Australia"
"TAS",1989,"Single","Pedestrian","Male",36,"Tasmania"
"SA",1989,"Multiple","Driver","Female",94,"South Australia"
"NSW",1989,"Multiple","Passenger","Female",87,"New South Wales"
"QLD",1989,"Multiple","Driver","Male",39,"Queensland"
"QLD",1989,"Single","Passenger","Male",41,"Queensland"
"VIC",1989,"Multiple","Passenger","Female",89,"Victoria"
"NSW",1989,"Single","Pedestrian","Female",80,"New South Wales"
"QLD",1989,"Single","Passenger","Male",27,"Queensland"
"NSW",1989,"Single","Driver","Female",46,"New South Wales"
"VIC",1989,"Multiple","Driver","Male",65,"Victoria"
"NSW",1989,"Single","Pedestrian","Female",79,"New South Wales"
"NSW",1989,"Single","Motorcycle rider","Male",46,"New South Wales"
"WA",1989,"Multiple","Passenger","Male",66,"West Australia"
"SA",1989,"Single","Passenger","Male",26,"South Australia"
"NSW",1989,"Multiple","Driver","Male",36,"New South Wales"
"SA",1989,"Multiple","Motorcycle rider","Male",48,"South Australia"
"SA",1989,"Multiple","Motorcycle rider","Male",78,"South Australia"
"SA",1989,"Multiple","Motorcycle rider","Male",19,"South Australia"
"VIC",1989,"Single","Driver","Female",40,"Victoria"
"NSW",1989,"Single","Motorcycle rider","Male",29,"New South Wales"
"WA",1989,"Multiple","Passenger","Female",1,"West Australia"
"WA",1989,"Single","Driver","Male",27,"West Australia"
"VIC",1989,"Single","Driver","Male",18,"Victoria"
"SA",1989,"Multiple","Driver","Male",36,"South Australia"
"NSW",1989,"Multiple","Driver","Male",69,"New South Wales"
"NSW",1989,"Single","Pedestrian","Male",83,"New South Wales"
"VIC",1989,"Single","Driver","Male",78,"Victoria"
"WA",1989,"Multiple","Driver","Female",43,"West Australia"
"VIC",1989,"Single","Driver","Male",84,"Victoria"
"QLD",1989,"Single","Passenger","Male",48,"Queensland"
"WA",1989,"Multiple","Passenger","Male",8,"West Australia"
"VIC",1989,"Single","Driver","Male",40,"Victoria"
"QLD",1989,"Single","Passenger","Male",26,"Queensland"
"WA",1989,"Single","Driver","Male",36,"West Australia"
"VIC",1989,"Single","Passenger","Female",31,"Victoria"
"WA",1989,"Multiple","Driver","Male",18,"West Australia"
"NSW",1989,"Multiple","Passenger","Female",50,"New South Wales"
"SA",1989,"Multiple","Motorcycle pillion passenger","Male",29,"South Australia"
"TAS",1989,"Multiple","Driver","Female",68,"Tasmania"
"NSW",1989,"Single","Driver","Male",32,"New South Wales"
"NT",1989,"Single","Passenger","Male",30,"Northern Territory"
"VIC",1989,"Single","Driver","Male",45,"Victoria"
"VIC",1989,"Multiple","Driver","Female",75,"Victoria"
"QLD",1989,"Single","Passenger","Male",7,"Queensland"
"VIC",1989,"Multiple","Driver","Female",32,"Victoria"
"NSW",1989,"Multiple","Motorcycle rider","Male",24,"New South Wales"
"NSW",1989,"Multiple","Passenger","Female",69,"New South Wales"
"NSW",1989,"Single","Passenger","Male",40,"New South Wales"
"NSW",1989,"Single","Driver","Male",66,"New South Wales"
"VIC",1989,"Multiple","Motorcycle rider","Male",29,"Victoria"
"QLD",1989,"Single","Pedestrian","Male",18,"Queensland"
"ACT",1989,"Single","Pedestrian","Male",20,"Austialian Capital Territory"
"TAS",1989,"Multiple","Pedal cyclist","Male",45,"Tasmania"
"NSW",1989,"Single","Driver","Male",24,"New South Wales"
"WA",1989,"Single","Motorcycle rider","Male",22,"West Australia"
"SA",1989,"Single","Driver","Male",28,"South Australia"
"VIC",1989,"Multiple","Driver","Male",47,"Victoria"
"QLD",1989,"Single","Driver","Male",61,"Queensland"
"WA",1989,"Multiple","Passenger","Male",41,"West Australia"
"VIC",1989,"Multiple","Motorcycle rider","Male",79,"Victoria"
"QLD",1989,"Multiple","Driver","Female",85,"Queensland"
"SA",1989,"Multiple","Driver","Male",38,"South Australia"
"SA",1989,"Multiple","Passenger","Male",54,"South Australia"
"NSW",1989,"Multiple","Passenger","Female",78,"New South Wales"
"QLD",1989,"Multiple","Passenger","Female",53,"Queensland"
"VIC",1989,"Multiple","Driver","Female",60,"Victoria"
"NSW",1989,"Single","Driver","Male",21,"New South Wales"
"NSW",1989,"Multiple","Pedestrian","Male",45,"New South Wales"
"VIC",1989,"Single","Motorcycle rider","Male",25,"Victoria"
"VIC",1989,"Single","Motorcycle pillion passenger","Female",23,"Victoria"
"VIC",1989,"Single","Pedestrian","Female",73,"Victoria"
"VIC",1989,"Single","Passenger","Male",24,"Victoria"
"NSW",1989,"Single","Passenger","Female",27,"New South Wales"
"NSW",1989,"Multiple","Driver","Female",30,"New South Wales"
"WA",1989,"Single","Pedestrian","Male",74,"West Australia"
"NSW",1989,"Multiple","Driver","Female",23,"New South Wales"
"QLD",1989,"Single","Driver","Male",36,"Queensland"
"SA",1989,"Single","Passenger","Male",19,"South Australia"
"SA",1989,"Multiple","Driver","Female",52,"South Australia"
"NSW",1989,"Single","Driver","Male",81,"New South Wales"
"QLD",1989,"Multiple","Passenger","Male",41,"Queensland"
"VIC",1989,"Multiple","Pedal cyclist","Male",30,"Victoria"
"NSW",1989,"Single","Motorcycle rider","Male",40,"New South Wales"
"VIC",1989,"Multiple","Motorcycle rider","Male",19,"Victoria"
"WA",1989,"Multiple","Driver","Male",36,"West Australia"
"QLD",1989,"Multiple","Driver","Male",34,"Queensland"
"NSW",1989,"Multiple","Driver","Male",53,"New South Wales"
"NSW",1989,"Single","Driver","Male",59,"New South Wales"
"VIC",1989,"Multiple","Driver","Male",15,"Victoria"
"VIC",1989,"Single","Passenger","Female",66,"Victoria"
"QLD",1989,"Single","Driver","Male",63,"Queensland"
"NSW",1989,"Single","Passenger","Female",65,"New South Wales"
"QLD",1989,"Multiple","Passenger","Female",18,"Queensland"
"QLD",1989,"Multiple","Motorcycle rider","Male",36,"Queensland"
"SA",1989,"Single","Passenger","Male",22,"South Australia"
"NSW",1989,"Single","Pedestrian","Male",50,"New South Wales"
"VIC",1989,"Multiple","Motorcycle rider","Male",30,"Victoria"
"NSW",1989,"Multiple","Motorcycle rider","Male",38,"New South Wales"
"NT",1989,"Single","Driver","Male",43,"Northern Territory"
"NSW",1989,"Single","Passenger","Female",42,"New South Wales"
"NSW",1989,"Single","Driver","Male",71,"New South Wales"
"NSW",1989,"Multiple","Passenger","Female",27,"New South Wales"
"NSW",1989,"Single","Driver","Male",21,"New South Wales"
"NSW",1989,"Single","Driver","Male",59,"New South Wales"
"NSW",1989,"Single","Motorcycle rider","Male",22,"New South Wales"
"QLD",1989,"Single","Driver","Female",18,"Queensland"
"NSW",1989,"Single","Pedestrian","Male",13,"New South Wales"
"QLD",1989,"Single","Driver","Male",79,"Queensland"
"NSW",1989,"Multiple","Driver","Female",85,"New South Wales"
"QLD",1989,"Single","Driver","Male",23,"Queensland"
"NT",1989,"Single","Driver","Female",34,"Northern Territory"
"VIC",1989,"Single","Pedestrian","Male",78,"Victoria"
"TAS",1989,"Multiple","Motorcycle pillion passenger","Male",14,"Tasmania"
"QLD",1989,"Single","Motorcycle rider","Male",36,"Queensland"
"WA",1989,"Single","Motorcycle rider","Male",49,"West Australia"
"NSW",1989,"Single","Passenger","Female",23,"New South Wales"
"WA",1989,"Multiple","Motorcycle rider","Male",39,"West Australia"
"VIC",1989,"Single","Pedestrian","Female",80,"Victoria"
"VIC",1989,"Single","Driver","Male",34,"Victoria"
"TAS",1989,"Multiple","Driver","Female",46,"Tasmania"
"VIC",1989,"Single","Passenger","Female",5,"Victoria"
"TAS",1989,"Single","Driver","Male",47,"Tasmania"
"VIC",1989,"Multiple","Pedal cyclist","Male",88,"Victoria"
"VIC",1989,"Single","Motorcycle rider","Male",66,"Victoria"
"VIC",1989,"Single","Passenger","Female",67,"Victoria"
"QLD",1989,"Multiple","Driver","Female",63,"Queensland"
"QLD",1989,"Single","Pedestrian","Male",4,"Queensland"
"NSW",1989,"Multiple","Driver","Male",36,"New South Wales"
"WA",1989,"Single","Driver","Male",23,"West Australia"
"NSW",1989,"Single","Passenger","Male",31,"New South Wales"
"NSW",1989,"Single","Passenger","Male",29,"New South Wales"
"NSW",1989,"Single","Passenger","Female",4,"New South Wales"
"TAS",1989,"Multiple","Driver","Female",80,"Tasmania"
"VIC",1989,"Multiple","Motorcycle rider","Male",71,"Victoria"
"SA",1989,"Single","Pedestrian","Female",50,"South Australia"
"NSW",1989,"Single","Driver","Male",81,"New South Wales"
"SA",1989,"Single","Pedestrian","Male",3,"South Australia"
"VIC",1989,"Single","Pedal cyclist","Female",73,"Victoria"
"QLD",1989,"Single","Driver","Male",21,"Queensland"
"NSW",1989,"Multiple","Driver","Male",64,"New South Wales"
"NSW",1989,"Multiple","Driver","Male",79,"New South Wales"
"WA",1989,"Multiple","Driver","Male",44,"West Australia"
"QLD",1989,"Multiple","Driver","Male",32,"Queensland"
"QLD",1989,"Multiple","Passenger","Male",41,"Queensland"
"QLD",1989,"Single","Pedestrian","Male",33,"Queensland"
"NSW",1989,"Single","Driver","Male",19,"New South Wales"
"NSW",1989,"Single","Driver","Male",63,"New South Wales"
"NT",1989,"Multiple","Pedestrian","Male",29,"Northern Territory"
"QLD",1989,"Single","Driver","Male",50,"Queensland"
"NSW",1989,"Single","Motorcycle rider","Male",32,"New South Wales"
"VIC",1989,"Single","Driver","Male",42,"Victoria"
"WA",1989,"Single","Passenger","Male",18,"West Australia"
"VIC",1989,"Multiple","Motorcycle rider","Male",22,"Victoria"
"VIC",1989,"Multiple","Pedal cyclist","Male",47,"Victoria"
"WA",1989,"Multiple","Motorcycle rider","Male",40,"West Australia"
"NSW",1989,"Multiple","Pedal cyclist","Male",53,"New South Wales"
"SA",1989,"Single","Pedestrian","Female",13,"South Australia"
"SA",1989,"Single","Driver","Male",90,"South Australia"
"NSW",1989,"Single","Passenger","Female",16,"New South Wales"
"VIC",1989,"Single","Pedestrian","Female",31,"Victoria"
"QLD",1989,"Single","Motorcycle rider","Male",25,"Queensland"
"SA",1989,"Single","Pedestrian","Male",79,"South Australia"
"NSW",1989,"Single","Motorcycle rider","Male",33,"New South Wales"
"WA",1989,"Multiple","Passenger","Female",74,"West Australia"
"VIC",1989,"Single","Motorcycle rider","Male",49,"Victoria"
"VIC",1989,"Single","Motorcycle rider","Male",56,"Victoria"
"QLD",1989,"Multiple","Driver","Female",63,"Queensland"
"NSW",1989,"Single","Passenger","Male",80,"New South Wales"
"QLD",1989,"Single","Pedestrian","Female",69,"Queensland"
"NSW",1989,"Multiple","Motorcycle rider","Male",17,"New South Wales"
"WA",1989,"Multiple","Pedal cyclist","Male",11,"West Australia"
"VIC",1989,"Single","Motorcycle rider","Male",28,"Victoria"
"VIC",1989,"Multiple","Motorcycle rider","Male",45,"Victoria"
"QLD",1989,"Single","Pedestrian","Female",9,"Queensland"
"NSW",1989,"Single","Driver","Male",23,"New South Wales"
"QLD",1989,"Multiple","Motorcycle rider","Male",21,"Queensland"
"WA",1989,"Single","Driver","Female",19,"West Australia"
"SA",1989,"Multiple","Driver","Male",80,"South Australia"
"NT",1989,"Multiple","Driver","Male",45,"Northern Territory"
"VIC",1989,"Single","Pedestrian","Male",50,"Victoria"
"WA",1989,"Multiple","Driver","Male",34,"West Australia"
"NSW",1989,"Multiple","Passenger","Male",16,"New South Wales"
"WA",1989,"Single","Driver","Male",50,"West Australia"
"NSW",1989,"Single","Pedestrian","Male",77,"New South Wales"
"QLD",1989,"Single","Pedestrian","Male",46,"Queensland"
"NSW",1989,"Single","Pedestrian","Male",3,"New South Wales"
"QLD",1989,"Single","Driver","Male",82,"Queensland"
"SA",1989,"Single","Driver","Male",37,"South Australia"
"WA",1989,"Multiple","Pedal cyclist","Male",22,"West Australia"
"QLD",1989,"Multiple","Driver","Male",80,"Queensland"
"NSW",1989,"Multiple","Driver","Female",25,"New South Wales"
"WA",1989,"Single","Motorcycle rider","Male",14,"West Australia"
"QLD",1989,"Single","Driver","Male",45,"Queensland"
"NSW",1989,"Multiple","Driver","Male",66,"New South Wales"
"TAS",1989,"Single","Driver","Female",64,"Tasmania"
"WA",1989,"Single","Driver","Female",62,"West Australia"
"NSW",1989,"Multiple","Driver","Male",33,"New South Wales"
"NT",1989,"Single","Passenger","Male",38,"Northern Territory"
"WA",1989,"Single","Pedestrian","Male",79,"West Australia"
"VIC",1989,"Multiple","Driver","Male",63,"Victoria"
"NSW",1989,"Single","Pedestrian","Male",45,"New South Wales"
"QLD",1989,"Multiple","Driver","Female",29,"Queensland"
"WA",1989,"Single","Passenger","Female",28,"West Australia"
"NSW",1989,"Multiple","Driver","Male",34,"New South Wales"
"VIC",1989,"Single","Passenger","Male",77,"Victoria"
"NSW",1989,"Single","Motorcycle rider","Male",46,"New South Wales"
"WA",1989,"Single","Pedestrian","Male",49,"West Australia"
"SA",1989,"Single","Driver","Female",47,"South Australia"
"VIC",1989,"Single","Passenger","Male",15,"Victoria"
"VIC",1989,"Single","Driver","Male",68,"Victoria"
"NT",1989,"Single","Passenger","Female",30,"Northern Territory"
"QLD",1989,"Multiple","Driver","Female",40,"Queensland"
"NSW",1989,"Single","Passenger","Male",20,"New South Wales"
"QLD",1989,"Multiple","Driver","Male",52,"Queensland"
"TAS",1989,"Multiple","Driver","Female",66,"Tasmania"
"VIC",1989,"Single","Driver","Male",23,"Victoria"
"NSW",1989,"Single","Pedestrian","Male",74,"New South Wales"
"VIC",1989,"Multiple","Motorcycle rider","Male",37,"Victoria"
